Time,Voltage,S,Current,S_in
300,0.0,0.0,8.989999999999998e-08,0.0
301,0.0,0.0,8.989999999999998e-08,0.0
302,0.0,0.0,8.989999999999998e-08,0.0
303,0.0,0.0,8.989999999999998e-08,0.0
304,0.0,0.0,8.989999999999998e-08,0.0
305,0.0,0.0,8.989999999999998e-08,0.0
306,0.0,0.0,8.989999999999998e-08,0.0
307,0.0,0.0,8.989999999999998e-08,0.0
308,0.0,0.0,8.989999999999998e-08,0.0
309,0.0,0.0,8.989999999999998e-08,0.0
310,0.0,0.0,8.989999999999998e-08,0.0
311,0.0,0.0,8.989999999999998e-08,0.0
312,0.0,0.0,8.989999999999998e-08,0.0
313,0.0,0.0,8.989999999999998e-08,0.0
314,0.0,0.0,8.989999999999998e-08,0.0
315,0.0,0.0,8.989999999999998e-08,0.0
316,0.0,0.0,8.989999999999998e-08,0.0
317,0.025000000000000112,0.0,3.000000000000001e-05,0.0
318,0.049999999999999926,0.0,6.000000000000002e-05,0.0
319,0.07500000000000004,0.0,8.997499999999991e-05,0.0
320,0.09999999999999984,0.0,0.00011982999999999997,0.0
321,0.12499999999999994,0.0,0.00015003999999999994,0.0
322,0.15000000000000008,0.0,0.00018050000000000008,0.0
323,0.17499999999999988,0.0,0.00021146000000000007,0.0
324,0.2,0.0,0.0002419999999999999,0.0
325,0.2250000000000001,0.0,0.0002728799999999999,0.0
326,0.2499999999999999,0.0,0.00030349999999999984,0.0
327,0.275,0.0,0.0003347499999999999,0.0
328,0.30000000000000016,0.0,0.00036599999999999984,0.0
329,0.325,0.0,0.0003972499999999998,0.0
330,0.3500000000000001,0.0,0.00042849999999999984,0.0
331,0.3749999999999999,0.0,0.00046038,0.0
332,0.4,0.0,0.0004926700000000002,0.0
333,0.4250000000000001,0.0,0.0005242500000000002,0.0
334,0.4499999999999999,0.0,0.000557,0.0
335,0.475,0.0,0.0005887499999999998,0.0
336,0.4999999999999998,0.0,0.0006216700000000001,0.0
337,0.4999999999999998,0.0,0.0006216700000000001,0.0
338,0.4999999999999998,0.0,0.0006216700000000001,0.0
339,0.4999999999999998,0.0,0.0006216700000000001,0.0
340,0.4999999999999998,0.0,0.0006216700000000001,0.0
341,0.4999999999999998,0.0,0.0006216700000000001,0.0
342,0.4999999999999998,0.0,0.0006216700000000001,0.0
343,0.4999999999999998,0.0,0.0006216700000000001,0.0
344,0.4999999999999998,0.0,0.0006216700000000001,0.0
345,0.4999999999999998,0.0,0.0006216700000000001,0.0
346,0.4999999999999998,0.0,0.0006216700000000001,0.0
347,0.4999999999999998,0.0,0.0006216700000000001,0.0
348,0.4999999999999998,0.0,0.0006216700000000001,0.0
349,0.4999999999999998,0.0,0.0006216700000000001,0.0
350,0.4999999999999998,0.0,0.0006216700000000001,0.0
351,0.4999999999999998,0.0,0.0006216700000000001,0.0
352,0.4999999999999998,0.0,0.0006216700000000001,0.0
353,0.4999999999999998,0.0,0.0006216700000000001,0.0
354,0.4999999999999998,0.0,0.0006216700000000001,0.0
355,0.4999999999999998,0.0,0.0006216700000000001,0.0
356,0.4999999999999998,0.0,0.0006216700000000001,0.0
357,0.4999999999999998,0.0,0.0006216700000000001,0.0
358,0.4999999999999998,0.0,0.0006216700000000001,0.0
359,0.4999999999999998,0.0,0.0006216700000000001,0.0
360,0.4999999999999998,0.0,0.0006216700000000001,0.0
361,0.4999999999999998,0.0,0.0006216700000000001,0.0
362,0.475,0.0,0.0005887499999999998,0.0
363,0.4499999999999999,0.0,0.000557,0.0
364,0.4250000000000001,0.0,0.0005242500000000002,0.0
365,0.4,0.0,0.0004926700000000002,0.0
366,0.3749999999999999,0.0,0.00046038,0.0
367,0.3500000000000001,0.0,0.00042849999999999984,0.0
368,0.325,0.0,0.0003972499999999998,0.0
